#"Status","Id","Parent","LatinName","UsEnglish","Translation","Synonyms"
"N","258837","0","regio IV hippocampi proprii","region IV","",""
"N","258845","0","fimbria hippocampi","fimbria","",""
"N","258859","0","alveus hippocampi","alveus","",""
"N","258868","0","strata hippocampi","layers of hippocampus","",""
"N","258876","0","stratum lacunosum moleculare","lacunar-molecular layer","",""
"N","258884","0","stratum oriens","oriens layer","",""
"N","258892","0","stratum pyramidale","pyramidal layer","",""
"N","258903","0","stratum radiatum","radiate layer","",""
"N","258916","0","gyrus dentatus","dentate gyrus","",""
"N","258927","0","strata gyri dentati","layers of dentate gyrus","",""
"N","258934","0","stratum moleculare","molecular layer","",""
"N","258942","0","stratum granulare","granular layer","",""
"N","258950","0","stratum multiforme","multiform layer","",""
"N","258969","0","pars basalis telencephali","basal forebrain","",""
"N","258975","0","corpus amygdaloideum","amygdaloid body","",""
"N","258988","0","area amygdaloclaustralis","amygdaloclaustral area","",""
"N","258991","0","area parahippocampalis","amygdalohippocampal area","",""
"N","259008","0","area transitionis amygdalopiriformis","amygdalopiriform transition area","",""
"N","259019","0","area amygdaloidea anterior","anterior amygdaloid area","",""
"N","259024","0","nucleus basalis lateralis amygdalae","basolateral amygdaloid nucleus","",""
"N","259035","0","nucleus basalis medialis amygdalae","basomedial amygdaloid nucleus","",""
"N","259043","0","nucleus centralis amygdalae","central amygdaloid nucleus","",""
"N","259056","0","nucleus corticalis amygdalae","cortical amygdaloid nucleus","",""
"N","259062","0","nucleus interstitialis amygdalae","interstitial amygdaloid nucleus","",""
"N","259070","0","nucleus lateralis amygdalae","lateral amygdaloid nucleus","",""
"N","259081","0","nucleus medialis amygdalae","medial amygdaloid nucleus","",""
"N","259097","0","nucleus tractus olfactorii lateralis","nucleus of lateral olfactory tract","",""
"N","259100","0","cortex periamygdaloideus","periamygdaloid cortex","",""
"N","259113","0","nucleus olfactorius anterior","anterior olfactory nucleus","",""
"N","259121","0","substantia basalis","basal substance","",""
"N","259137","0","nucleus basalis","basal nucleus","",""
"N","259145","0","nucleus striae terminalis","bed nucleus of stria terminalis","",""
"N","259159","0","pars sublenticularis amygdalae","sublenticular extended amygdala","",""
"N","259168","0","claustrum","claustrum","",""
"N","259176","0","stria diagonalis","diagonal band","",""
"N","259184","0","crus horizontale","horizontal limb","",""
"N","259192","0","crus verticale","vertical limb","",""
"N","259202","0","nucleus striae diagonalis","nucleus of diagonal band","",""
"N","259215","0","substantia innominata","innominate substance","",""
"N","259228","0","fasciculus peduncularis","fasciculus peduncularis","",""
"N","259231","0","insulae olfactoriae","olfactory islets","",""
"N","259244","0","bulbus olfactorius","olfactory bulb","",""
"N","259253","0","pedunculus olfactorius","olfactory peduncle","",""
"N","259266","0","tractus olfactorius","olfactory tract","",""
"N","259277","0","trigonum olfactorium","olfactory trigone","",""
"N","259289","0","tuberculum olfactorium","olfactory tubercle","",""
"N","259290","0","striae olfactoriae","olfactory striae","",""
"N","259304","0","stria olfactoria medialis","medial stria","",""
"N","259312","0","stria olfactoria lateralis","lateral stria","",""
"N","259320","0","substantia perforata anterior","anterior perforated substance","",""
"N","259336","0","pallidum ventrale","ventral pallidum","",""
"N","259348","0","striatum ventrale","ventral striatum","",""
"N","259357","0","nucleus accumbens","nucleus accumbens","",""
"N","259361","0","pars lateralis","lateral part","",""
"N","259373","0","pars medialis","medial part","",""
"N","259385","0","area septalis","septal area","",""
"N","259399","0","nucleus septalis dorsalis","dorsal septal nucleus","",""
"N","259407","0","nucleus septalis lateralis","lateral septal nucleus","",""
"N","259410","0","nucleus septalis medialis","medial septal nucleus","",""
"N","259429","0","nucleus septofimbrialis","septofimbrial nucleus","",""
"N","259432","0","nucleus triangularis septi","triangular nucleus of septum","",""
"N","259441","0","organum subfornicale","subfornical organ","",""
"N","259455","0","nuclei basales","basal nuclei","",""
"N","259464","0","nucleus caudatus","caudate nucleus","",""
"N","259478","0","caput","head","",""
"N","259486","0","corpus","body","",""
"N","259493","0","cauda","tail","",""
"N","259503","0","nucleus lentiformis","lentiform nucleus","",""
"N","259516","0","putamen","putamen","",""
"N","259527","0","lamina medullaris lateralis","lateral medullary lamina","",""
"N","259534","0","globus pallidus lateralis","globus pallidus lateral segment","",""
"N","259542","0","lamina medullaris medialis","medial medullary lamina","",""
"N","259550","0","globus pallidus medialis","globus pallidus medial segment","",""
"N","259569","0","pars lateralis","lateral part","",""
"N","259575","0","lamina medullaris accessoria","accessory medullary lamina","",""
"N","259588","0","pars medialis","medial part","",""
"N","259591","0","corpus striatum","corpus striatum","",""
"N","259606","0","striatum","striatum","",""
"N","259611","0","striatum dorsale","dorsal striatum","",""
"N","259622","0","pallidum","pallidum","",""
"N","259633","0","pallidum dorsale","dorsal pallidum","",""
"N","259640","0","ansa lenticularis","ansa lenticularis","",""
"N","259654","0","fasciculus lenticularis","lenticular fasciculus","",""
"N","259665","0","fasciculus subthalamicus","subthalamic fasciculus","",""
"N","259679","0","fasciculus thalamicus","thalamic fasciculus","",""
"N","259687","0","capsula interna","internal capsule","",""
"N","259698","0","pontes grisei caudatolenticulares","caudolenticular grey bridges","",""
"N","259709","0","crus anterius","anterior limb","",""
"N","259714","0","radiatio thalami anterior","anterior thalamic radiation","",""
"N","259723","0","tractus frontopontinus","frontopontine fibres","",""
