#"AnaTermId","ParentId","LatinTerm","EnglishTerm","TA1","TA2","Sex","Type"
"101149","101130","Palpebra superior","Upper eyelid","A15.2.07.025","114","B",""
"101158","101130","Palpebra inferior","Lower eyelid","A15.2.07.026","115","B",""
"101163","101125","Bucca","Cheek","A01.1.00.008","116","B",""
"101174","101125","Nasus externus","External nose","","117","B",""
"101182","101174","Ala nasi","Ala of nose","A06.1.01.005","118","B",""
"101196","101125","Stoma","Mouth","A01.1.00.010","119","B",""
"101207","101196","Labium superius oris","Upper lip","A05.1.01.006","120","B",""
"101210","101196","Labium inferius oris","Lower lip","A05.1.01.009","121","B",""
"101229","101125","Mentum","Chin","A01.1.00.011","122","B",""
"101232","100970","Collum","Neck","A01.1.00.012","123","B","G"
"101241","100970","Truncus","Trunk","A01.1.00.013","124","B","G"
"101255","101241","Thorax","Thorax","A01.1.00.014","125","B",""
"101264","101255","Cavitas thoracis","Thoracic cavity","A02.3.04.002","126","B",""
"101278","101241","Abdomen","Abdomen","A01.1.00.016","127","B",""
"101286","101278","Cavitas abdominis","Abdominal cavity","A10.1.00.001","128","B",""
"101293","101241","Pelvis","Pelvis","A01.1.00.017","129","B",""
"101308","101293","Cavitas pelvis","Pelvic cavity","A10.1.00.002","130","B",""
"101319","101293","Perineum","Perineum","A09.5.00.001","131","B",""
"101324","101241","Pars anterior trunci","Anterior trunk","","132","B",""
"101335","101324","Paries anterolateralis thoracis","Anterolateral thoracic wall","","133","B",""
"101343","101324","Paries anterolateralis abdominis","Anterolateral abdominal wall","","134","B",""
"101356","101241","Dorsum","Back","A01.1.00.018","135","B",""
"101362","101356","Dorsum thoracis","Back of thorax","","136","B",""
"101370","101356","Dorsum abdominis","Back of abdomen","","137","B",""
"101381","100970","Membrum superius","Upper limb","A01.1.00.019","138","B","G"
"101397","101381","Omos","Shoulder","","139","B",""
"101403","101381","Axilla","Axilla","A01.1.00.021","140","B",""
"101416","101403","Plica axillaris anterior","Anterior axillary fold","","141","B",""
"101427","101403","Plica axillaris posterior","Posterior axillary fold","","142","B",""
"101434","101381","Pars libera membri superioris","Free part of upper limb","","143","B",""
"101442","101434","Brachium","Arm","A01.1.00.022","144","B",""
"101450","101434","Cubitus","Elbow","A01.1.00.023","145","B",""
"101469","101434","Antebrachium","Forearm","A01.1.00.024","146","B",""
"101475","101434","Carpus","Wrist","A01.1.00.026","147","B",""
"101488","101434","Manus","Hand","A01.1.00.025","148","B",""
"101491","101488","Metacarpus","Metacarpus","A01.1.00.027","149","B",""
"101502","101488","Digiti manus","Digits of hand","A01.1.00.030","150","B",""
"101515","101502","Pollex","Thumb","A01.1.00.053","151","B",""
"101528","101502","Index","Index finger","A01.1.00.054","152","B",""
"101531","101502","Digitus medius manus","Middle finger","A01.1.00.055","153","B",""
"101544","101502","Digitus anularis","Ring finger","A01.1.00.056","154","B",""
"101553","101502","Digitus minimus manus","Little finger","A01.1.00.057","155","B",""
"101566","100970","Membrum inferius","Lower limb","A01.1.00.031","156","B","G"
"101577","101566","Natis","Buttock","","157","B",""
"101589","101566","Coxa","Hip","A01.1.00.034","158","B",""
"101590","101566","Pars libera membri inferioris","Free part of lower limb","","159","B",""
"101609","101590","Femur","Thigh","A01.1.00.035","160","B",""
"101614","101590","Genu","Knee","A01.1.00.036","161","B",""
"101623","101614","Poples","Posterior part of knee","A01.1.00.037","162","B",""
"101638","101590","Crus","Leg","A01.1.00.038","163","B",""
"101646","101638","Sura","Calf","A01.1.00.039","164","B",""
"101651","101590","Talus","Ankle","A01.1.00.041","165","B",""
"101667","101590","Pes","Foot","A01.1.00.040","166","B",""
"101672","101667","Calx","Heel","A01.1.00.042","167","B",""
"101680","101667","Pars media pedis","Midfoot","","168","B",""
"101695","101667","Metatarsus","Metatarsus","A01.1.00.043","169","B",""
"101705","101667","Digiti pedis","Digits of foot","A01.1.00.046","170","B",""
"101718","101705","Hallux","Great toe","A01.1.00.058","171","B",""
"101726","101705","Digitus secundus pedis","Second toe","A01.1.00.059","172","B",""
"101739","101705","Digitus tertius pedis","Third toe","A01.1.00.060","173","B",""
"101747","101705","Digitus quartus pedis","Fourth toe","A01.1.00.061","174","B",""
"101752","101705","Digitus minimus pedis","Little toe","A01.1.00.062","175","B",""
"101760","100962","Regiones corporis humani","Regions of human body","A01.2.01.000","176","B","G"
"101771","101760","Regiones capitis","Regions of head","A01.2.01.001","177","B","G"
"101783","101771","Regiones epicranii","Regions of epicranium","","178","B",""
"101794","101783","Vertex","Vertex","A02.1.00.033","179","B",""
"101806","101783","Regio frontalis","Frontal region","A01.2.01.002","180","B",""
"101811","101806","Supercilium","Eyebrow","A15.2.07.023","181","B",""
"101822","101783","Regio parietalis","Parietal region","A01.2.01.003","182","B",""
"101833","101783","Regio occipitalis","Occipital region","A01.2.01.004","183","B",""
"101840","101783","Regio temporalis","Temporal region","A01.2.01.005","184","B",""
"101854","101783","Regio mastoidea","Mastoid region","A01.2.01.007","185","B",""
"101865","101771","Regio auricularis","Auricular region","A01.2.01.006","186","B",""
"101879","101865","Fossa triangularis","Triangular fossa","A15.3.01.010","187","B",""
"101887","101865","Scapha","Scapha","A15.3.01.012","188","B",""
"101898","101865","Concha auriculae","Concha of auricle","A15.3.01.013","189","B",""
"101904","101898","Cymba conchae","Cymba conchae","A15.3.01.014","190","B",""
"101912","101898","Cavitas conchae","Cavity of concha","A15.3.01.015","191","B",""
"101920","101865","Incisura anterior auriculae","Anterior notch of auricle","","192","B",""
"101936","101865","Incisura intertragica","Intertragic incisure","A15.3.01.019","193","B",""
"101948","101865","Tuberculum auriculae","Auricular tubercle","A15.3.01.020","194","B",""
"101957","101865","Apex auriculae","Apex of auricle","A15.3.01.021","195","B",""
"101961","101865","Sulcus posterior auriculae","Posterior auricular groove","A15.3.01.022","196","B",""
"101973","101865","Tuberculum supratragicum","Supratragic tubercle","A15.3.01.023","197","B",""
"101985","101865","Fossa antihelica","Fossa antihelica","A15.3.01.028","198","B",""
"101999","101865","Eminentia conchae","Eminentia conchae","A15.3.01.029","199","B",""
"102004","101865","Eminentia scaphae","Eminentia scaphae","A15.3.01.030","200","B",""
"102012","101865","Eminentia fossae triangularis","Eminentia fossae triangularis","A15.3.01.031","201","B",""
"102020","101771","Regiones faciei","Regions of face","A01.2.01.008","202","B",""
"102036","102020","Regio orbitalis","Orbital region","A01.2.01.010","203","B",""
"102048","102036","Sulcus suprapalpebralis","Suprapalpebral sulcus","A01.2.01.009","204","B",""
"102057","102036","Rima palpebrarum","Palpebral fissure","A15.2.07.030","205","B",""
"102061","102036","Commissura lateralis palpebrarum","Lateral palpebral commissure","A15.2.07.031","206","B",""
"102073","102036","Commissura medialis palpebrarum","Medial palpebral commissure","A15.2.07.032","207","B",""
"102085","102036","Angulus lateralis oculi","Lateral angle of eye","A15.2.07.033","208","B",""
"102099","102036","Angulus medialis oculi","Medial angle of eye","A15.2.07.034","209","B",""
